Ontology	Scp	Target_gene_symbol	Organism	ReadWrite_references
Custom_transmembrane_transport	SNAT5 (SLC38A5)	SLC38A5	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	SNAT6 (SLC38A6)	SLC38A6	Homo_sapiens	UniProt
Custom_transmembrane_transport	SNAT7 (SLC38A7)	SLC38A7	Homo_sapiens	Gen
Custom_transmembrane_transport	SNAT8 (SLC38A8)	SLC38A8	Homo_sapiens	UniProt
Custom_transmembrane_transport	SOAT (SLC10A6)	SLC10A6	Homo_sapiens	Full gene name
Custom_transmembrane_transport	Sodium acetylcholine symporter	SLC22A4	Homo_sapiens	NCBI
Custom_transmembrane_transport	Sodium alanine symporter	SLC6A17	Homo_sapiens	UniProt online
Custom_transmembrane_transport	Sodium amino acid symporter	SLC1A1	Homo_sapiens	UniProt
Custom_transmembrane_transport	Sodium amino acid symporter	SLC1A2	Homo_sapiens	PMID:21186281
Custom_transmembrane_transport	Sodium amino acid symporter	SLC1A3	Homo_sapiens	PMID:21186281
Custom_transmembrane_transport	Sodium amino acid symporter	SLC38A10	Homo_sapiens	UniProt
Custom_transmembrane_transport	Sodium amino acid symporter	SLC38A11	Homo_sapiens	UniProt
Custom_transmembrane_transport	Sodium amino acid symporter	SLC38A9	Homo_sapiens	PMID:21186281
Custom_transmembrane_transport	Sodium amino acid symporter	SLC6A15	Homo_sapiens	UniProt online;PMID: 24692143
Custom_transmembrane_transport	Sodium amino acid symporter	SLC6A17	Homo_sapiens	UniProt online
Custom_transmembrane_transport	Sodium amino acid symporter	SLC6A18	Homo_sapiens	UniProt
Custom_transmembrane_transport	Sodium amino acid symporter	SLC6A19	Homo_sapiens	UniProt online;PMID: 24692143
Custom_transmembrane_transport	Sodium amino acid symporter	SLC6A20	Homo_sapiens	UniProt;PMID: 33072764
Custom_transmembrane_transport	Sodium amino acid symporter	SLC6A5	Homo_sapiens	UniProt
Custom_transmembrane_transport	Sodium amino acid symporter	SLC6A6	Homo_sapiens	UniProt;PMID: 33072764
Custom_transmembrane_transport	Sodium amino acid symporter	SLC6A7	Homo_sapiens	UniProt;PMID: 33072764
Custom_transmembrane_transport	Sodium amino acid symporter	SLC6A9	Homo_sapiens	UniProt;PMID: 33072764
Custom_transmembrane_transport	Sodium amino acid symporter B2L	SLC1A4	Homo_sapiens	UniProt;PMID: 24692143
Custom_transmembrane_transport	Sodium amino acid symporter B2L	SLC1A5	Homo_sapiens	UniProt
Custom_transmembrane_transport	Sodium amino acid symporter B2L	SLC38A1	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	Sodium amino acid symporter B2L	SLC38A2	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	Sodium amino acid symporter B2L	SLC38A3	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	Sodium amino acid symporter B2L	SLC38A4	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	Sodium amino acid symporter B2L	SLC38A5	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	Sodium amino acid symporter B2L	SLC38A6	Homo_sapiens	UniProt
Custom_transmembrane_transport	Sodium amino acid symporter B2L	SLC38A7	Homo_sapiens	Gen
Custom_transmembrane_transport	Sodium amino acid symporter B2L	SLC38A8	Homo_sapiens	UniProt
Custom_transmembrane_transport	Sodium amino acid symporter B2L	SLC7A6	Homo_sapiens	NCBI
Custom_transmembrane_transport	Sodium amino acid symporter B2L	SLC7A7	Homo_sapiens	NCBI
Custom_transmembrane_transport	Sodium amino acid vs hydrogen antiporter	SLC38A10	Homo_sapiens	UniProt
Custom_transmembrane_transport	Sodium amino acid vs hydrogen antiporter	SLC38A11	Homo_sapiens	UniProt
Custom_transmembrane_transport	Sodium- and chloride-dependent sodium:neurotransmitter symporter	SLC6A10	Homo_sapiens	NCBI;PMID: 17692818
Custom_transmembrane_transport	Sodium ascorbic acid symporter	SLC23A1	Homo_sapiens	UniProt
Custom_transmembrane_transport	Sodium ascorbic acid symporter B2L	SLC23A2	Homo_sapiens	UniProt;PMID: 33072764
Custom_transmembrane_transport	Sodium aspartate symporter	SLC1A1	Homo_sapiens	UniProt
Custom_transmembrane_transport	Sodium aspartate symporter	SLC1A2	Homo_sapiens	PMID:21186281
Custom_transmembrane_transport	Sodium aspartate symporter	SLC1A3	Homo_sapiens	PMID:21186281
Custom_transmembrane_transport	Sodium B2L	SLC13A3	Homo_sapiens	NCBI;PMID: 27053689
Custom_transmembrane_transport	Sodium B2L	SLC13A5	Homo_sapiens	PMID: 24114175;UniProt
Custom_transmembrane_transport	Sodium B2L	SLC1A4	Homo_sapiens	UniProt;PMID: 24692143
Custom_transmembrane_transport	Sodium B2L	SLC1A5	Homo_sapiens	UniProt
Custom_transmembrane_transport	Sodium B2L	SLC23A2	Homo_sapiens	UniProt;PMID: 33072764
Custom_transmembrane_transport	Sodium B2L	SLC24A1	Homo_sapiens	UniProt
Custom_transmembrane_transport	Sodium B2L	SLC24A2	Homo_sapiens	NCBI
Custom_transmembrane_transport	Sodium B2L	SLC24A3	Homo_sapiens	NCBI
Custom_transmembrane_transport	Sodium B2L	SLC24A4	Homo_sapiens	NCBI
Custom_transmembrane_transport	Sodium B2L	SLC24A5	Homo_sapiens	UniProt online
Custom_transmembrane_transport	Sodium B2L	SLC38A1	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	Sodium B2L	SLC38A2	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	Sodium B2L	SLC38A3	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	Sodium B2L	SLC38A4	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	Sodium B2L	SLC38A5	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	Sodium B2L	SLC38A6	Homo_sapiens	UniProt
Custom_transmembrane_transport	Sodium B2L	SLC38A7	Homo_sapiens	Gen
Custom_transmembrane_transport	Sodium B2L	SLC38A8	Homo_sapiens	UniProt
Custom_transmembrane_transport	Sodium B2L	SLC4A11	Homo_sapiens	PMID:21186281
Custom_transmembrane_transport	Sodium B2L	SLC5A3	Homo_sapiens	NCBI
Custom_transmembrane_transport	Sodium B2L	SLC6A1	Homo_sapiens	UniProt;PMID: 24692143
Custom_transmembrane_transport	Sodium B2L	SLC6A11	Homo_sapiens	UniProt;PMID: 24692143
Custom_transmembrane_transport	Sodium B2L	SLC6A12	Homo_sapiens	UniProt;PMID: 24692143
Custom_transmembrane_transport	Sodium B2L	SLC6A13	Homo_sapiens	UniProt;PMID: 24692143
Custom_transmembrane_transport	Sodium B2L	SLC7A6	Homo_sapiens	NCBI
Custom_transmembrane_transport	Sodium B2L	SLC7A7	Homo_sapiens	NCBI
Custom_transmembrane_transport	Sodium B2L	SLC8A1	Homo_sapiens	UniProt online;PMID: 17417706
Custom_transmembrane_transport	Sodium B2L	SLC8A2	Homo_sapiens	UniProt
Custom_transmembrane_transport	Sodium B2L	SLC8A3	Homo_sapiens	NCBI
Custom_transmembrane_transport	Sodium B2L	SLC8B1	Homo_sapiens	NCBI
Custom_transmembrane_transport	Sodium B2L	SLC9A1	Homo_sapiens	UniProt;PMID: 17417706
Custom_transmembrane_transport	Sodium B2L	SLC9A4	Homo_sapiens	PMID: 24692143;UniProt
Custom_transmembrane_transport	Sodium B2L by antiporter	SLC1A4	Homo_sapiens	UniProt;PMID: 24692143
Custom_transmembrane_transport	Sodium B2L by antiporter	SLC1A5	Homo_sapiens	UniProt
Custom_transmembrane_transport	Sodium B2L by antiporter	SLC24A1	Homo_sapiens	UniProt
Custom_transmembrane_transport	Sodium B2L by antiporter	SLC24A2	Homo_sapiens	NCBI
Custom_transmembrane_transport	Sodium B2L by antiporter	SLC24A3	Homo_sapiens	NCBI
Custom_transmembrane_transport	Sodium B2L by antiporter	SLC24A4	Homo_sapiens	NCBI
Custom_transmembrane_transport	Sodium B2L by antiporter	SLC24A5	Homo_sapiens	UniProt online
Custom_transmembrane_transport	Sodium B2L by antiporter	SLC38A3	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	Sodium B2L by antiporter	SLC38A5	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Custom_transmembrane_transport	Sodium B2L by antiporter	SLC38A6	Homo_sapiens	UniProt
Custom_transmembrane_transport	Sodium B2L by antiporter	SLC38A7	Homo_sapiens	Gen
Custom_transmembrane_transport	Sodium B2L by antiporter	SLC38A8	Homo_sapiens	UniProt
Custom_transmembrane_transport	Sodium B2L by antiporter	SLC7A6	Homo_sapiens	NCBI
Custom_transmembrane_transport	Sodium B2L by antiporter	SLC7A7	Homo_sapiens	NCBI
Custom_transmembrane_transport	Sodium B2L by antiporter	SLC8A1	Homo_sapiens	UniProt online;PMID: 17417706
Custom_transmembrane_transport	Sodium B2L by antiporter	SLC8A2	Homo_sapiens	UniProt
Custom_transmembrane_transport	Sodium B2L by antiporter	SLC8A3	Homo_sapiens	NCBI
Custom_transmembrane_transport	Sodium B2L by antiporter	SLC8B1	Homo_sapiens	NCBI
Custom_transmembrane_transport	Sodium B2L by antiporter	SLC9A1	Homo_sapiens	UniProt;PMID: 17417706
Custom_transmembrane_transport	Sodium B2L by antiporter	SLC9A4	Homo_sapiens	PMID: 24692143;UniProt
Custom_transmembrane_transport	Sodium B2L by symporter	SLC13A3	Homo_sapiens	NCBI;PMID: 27053689
Custom_transmembrane_transport	Sodium B2L by symporter	SLC13A5	Homo_sapiens	PMID: 24114175;UniProt
Custom_transmembrane_transport	Sodium B2L by symporter	SLC1A4	Homo_sapiens	UniProt;PMID: 24692143
Custom_transmembrane_transport	Sodium B2L by symporter	SLC1A5	Homo_sapiens	UniProt
Custom_transmembrane_transport	Sodium B2L by symporter	SLC23A2	Homo_sapiens	UniProt;PMID: 33072764
Custom_transmembrane_transport	Sodium B2L by symporter	SLC38A1	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
