Ontology	ProcessName	Symbol	Organism	ReadWrite_references
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC1A5	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC23A2	Homo_sapiens	UniProt;PMID: 33072764
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC24A1	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC24A2	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC24A3	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC24A4	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC24A5	Homo_sapiens	UniProt online
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC38A1	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC38A2	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC38A3	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC38A4	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC38A5	Homo_sapiens	GeneCards-online-2021May22;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC38A6	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC38A7	Homo_sapiens	Gen
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC38A8	Homo_sapiens	UniProt
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC4A11	Homo_sapiens	PMID:21186281
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC5A3	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC6A1	Homo_sapiens	UniProt;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC6A11	Homo_sapiens	UniProt;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC6A12	Homo_sapiens	UniProt;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC6A13	Homo_sapiens	UniProt;PMID: 24692143
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC7A6	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC7A7	Homo_sapiens	NCBI
Mbco_na_glucose_tm_transport_human	Sodium B2L	SLC8A1	Homo_sapiens	UniProt online;PMID: 17417706
